,incident_month,incident_week,incident_weekday,weekend,part_of_the_day,incident_district,incident_division,precip,visibility,heatindex,season,male_population,female_population,total_population,gender_ration,average_household_size,density_per_kmsq,literacy_rate,religious_institution,playground,park,police_station,school,college,crime
4799,8.0,35,monday,0,morning,habiganj,SyLhEt,6.8,8,35,rainy,163875,168655,332530,97,5.59,690.0,34.7,504,4,0,7,23,4,bodyfound
4800,11.0,44,sunday,0,night,natore,rajshahi,0.0,10,29,winter,138424,141248,279672,98,3.98,933.0,50.0,351,0,0,3,40,13,bodyfound
4801,3.0,10,sunday,0,morning,natore,rajshahi,0.0,10,30,hot,138424,141248,279672,98,3.98,933.0,50.0,351,0,0,3,40,13,bodyfound
4802,1.0,4,friday,1,morning,natore,  rajshahi ,0.0,10,23,winter,138424,141248,279672,98,3.98,933.0,50.0,351,0,0,3,40,13,bodyfound
4803,10.0,43,tuesday,0,night,barguna,BARISAL,0.1,10,36,rainy,128682,132661,261343,97,4.2,575.0,61.8,813,46,0,2,57,4,bodyfound
4804,11.0,48,thursday,0,morning,barguna,barisal,0.0,10,28,winter,128682,132661,261343,97,4.2,575.0,61.8,813,46,0,2,57,4,bodyfound
4805,6.0,26,tuesday,0,night,barisal,barisal,10.5,9,39,rainy,97732,101007,198739,97,4.49,1625.0,69.3,605,42,3,1,44,10,bodyfound
4806,11.0,49,monday,0,night,barisal,barisal,0.0,10,27,winter,97732,101007,198739,97,4.49,1625.0,69.3,605,42,3,1,44,10,bodyfound
4807,5.0,20,wednesday,0,noon,barisal,barisal,4.4,10,38,hot,97732,101007,198739,97,4.49,1625.0,69.3,605,42,3,1,44,10,bodyfound
4808,,50,tuesday,0,night,barisal,barisal,0.0,10,24,winter,97732,101007,198739,97,4.49,1625.0,69.3,605,42,3,1,44,10,bodyfound
4809,8.0,31,friday,1,night,barisal,barisal,2.9,10,35,rainy,97732,101007,198739,97,4.49,1625.0,69.3,605,42,3,1,44,10,bodyfound
4810,7.0,29,friday,1,morning,barisal,barisal,1.5,10,37,rainy,97732,101007,198739,97,4.49,1625.0,69.3,605,42,3,1,44,10,bodyfound
4811,12.0,51,tuesday,0,night,moulvibazar,sylhet,0.0,10,24,winter,124377,133243,257620,93,5.83,574.0,52.4,632,0,0,1,28,4,bodyfound
4812,12.0,51,saturday,1,evening,moulvibazar,sylhet,0.0,10,24,winter,124377,133243,257620,93,5.83,574.0,52.4,632,0,0,1,28,4,bodyfound
4813,3.0,9,saturday,1,morning,moulvibazar,sylhet,0.0,10,26,hot,124377,133243,257620,93,5.83,574.0,52.4,632,0,0,1,28,4,bodyfound
4814,,21,tuesday,0,morning,tangail,dhaka,3.0,10,38,hot,75283,84587,159870,89,4.14,1013.0,50.4,389,5,0,1,24,3,bodyfound
4815,11.0,46,saturday,1,noon,tangail,dhaka,0.0,10,25,winter,75283,84587,159870,89,4.14,1013.0,50.4,389,5,0,1,24,3,bodyfound
4816,12.0,50,wednesday,0,morning,tangail,dhaka,0.0,10,24,winter,75283,84587,159870,89,4.14,1013.0,50.4,389,5,0,1,24,3,bodyfound
4817,2.0,8,monday,0,morning,tangail,dhaka,0.0,10,26,winter,75283,84587,159870,89,4.14,1013.0,50.4,389,5,0,1,24,3,bodyfound
4818,2.0,7,sunday,0,night,noakhali,chattogram,0.0,10,29,winter,261713,287595,549308,91,5.37,2304.0,59.3,1412,47,0,2,47,2,bodyfound
4819,10.0,43,wednesday,0,morning,rangamati,chattogram,0.0,5,28,rainy,15174,13351,28525,114,4.66,38.0,32.8,21,1,0,2,1,0,bodyfound
4820,9.0,37,sunday,0,night,sirajganj,rajshahi,3.2,10,40,rainy,179877,172958,352835,104,4.72,2221.0,45.7,608,0,0,1,28,6,bodyfound
4821,6.0,26,tuesday,0,afternoon,sirajganj,rajshahi,56.8,8,36,rainy,179877,172958,352835,104,4.72,2221.0,45.7,608,0,0,1,28,6,bodyfound
4822,7.0,28,wednesday,0,night,sirajganj,rajshahi,38.3,7,35,rainy,179877,172958,352835,104,4.72,2221.0,45.7,608,0,0,1,28,6,bodyfound
4823,3.0,12,wednesday,0,afternoon,pabna,  rajshahi ,0.0,10,30,hot,128397,128396,256793,100,4.47,1055.0,41.2,251,0,0,4,19,5,bodyfound
4824,6.0,25,wednesday,0,morning,pabna,rajshahi,16.4,9,36,rainy,128397,128396,256793,100,4.47,1055.0,41.2,251,0,0,4,19,5,bodyfound
4825,10.0,42,friday,1,morning,pabna,rajshahi,9.1,9,30,rainy,128397,128396,256793,100,4.47,1055.0,41.2,251,0,0,4,19,5,bodyfound
4826,1.0,2,monday,0,morning,mymensingh,mymensingh,0.0,10,24,winter,217291,213029,430320,102,3.95,969.0,49.1,922,11,2,2,56,3,bodyfound
